Gender,Ever_Married,Age,Graduated,Work_Experience,Spending_Score,Family_Size,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing
False,False,22,False,1.0,Low,4.0,False,False,False,False,False,True,False,False,False
True,True,67,True,1.0,Low,1.0,False,False,True,False,False,False,False,False,False
False,True,67,True,0.0,High,2.0,False,False,False,False,False,False,False,True,False
False,True,56,False,0.0,Average,2.0,True,False,False,False,False,False,False,False,False
False,False,32,True,1.0,Low,3.0,False,False,False,False,False,True,False,False,False
True,False,33,True,1.0,Low,3.0,False,False,False,False,False,True,False,False,False
True,True,61,True,0.0,Low,3.0,False,False,True,False,False,False,False,False,False
True,True,55,True,1.0,Average,4.0,True,False,False,False,False,False,False,False,False
True,False,26,True,1.0,Low,3.0,False,False,True,False,False,False,False,False,False
False,False,19,False,4.0,Low,4.0,False,False,False,False,False,True,False,False,False
True,True,58,False,0.0,Low,1.0,False,True,False,False,False,False,False,False,False
True,False,41,False,1.0,Low,2.0,False,False,False,False,False,True,False,False,False
True,False,32,False,9.0,Low,5.0,False,False,False,False,False,False,True,False,False
False,False,31,False,1.0,Low,6.0,False,False,False,False,False,True,False,False,False
False,True,58,True,1.0,Average,4.0,False,False,False,True,False,False,False,False,False
True,True,79,True,0.0,High,1.0,True,False,False,False,False,False,False,False,False
False,True,49,True,12.0,Low,1.0,False,False,False,False,False,False,True,False,False
True,False,18,False,3.0,Low,4.0,False,False,False,False,False,True,False,False,False
False,True,33,True,13.0,Low,2.0,True,False,False,False,False,False,False,False,False
True,False,36,True,5.0,Low,2.0,True,False,False,False,False,False,False,False,False
False,True,56,False,1.0,Average,3.0,True,False,False,False,False,False,False,False,False
False,False,31,False,9.0,Low,8.0,False,False,False,False,False,True,False,False,False
False,True,49,True,1.0,Average,3.0,True,False,False,False,False,False,False,False,False
False,False,35,True,0.0,Low,1.0,True,False,False,False,False,False,False,False,False
True,False,35,False,5.0,Low,4.0,True,False,False,False,False,False,False,False,False
True,True,45,True,0.0,Low,3.0,True,False,False,False,False,False,False,False,False
True,True,42,False,1.0,Low,2.0,False,True,False,False,False,False,False,False,False
False,False,19,False,1.0,Low,3.0,False,False,False,False,False,True,False,False,False
True,True,83,False,1.0,High,2.0,False,False,False,False,False,False,False,True,False
True,False,27,True,3.0,Low,4.0,False,False,False,False,False,True,False,False,False
False,False,32,False,5.0,Low,1.0,False,True,False,False,False,False,False,False,False
True,True,28,False,1.0,Average,5.0,False,False,False,False,False,True,False,False,False
True,True,28,True,8.0,Low,2.0,True,False,False,False,False,False,False,False,False
True,False,47,True,4.0,Low,1.0,True,False,False,False,False,False,False,False,False
True,False,22,False,0.0,Low,2.0,False,False,False,False,False,True,False,False,False
True,False,27,True,14.0,Low,3.0,True,False,False,False,False,False,False,False,False
True,True,49,True,1.0,Low,2.0,True,False,False,False,False,False,False,False,False
False,True,40,False,8.0,Low,1.0,False,False,True,False,False,False,False,False,False
False,True,41,True,0.0,Average,4.0,True,False,False,False,False,False,False,False,False
False,False,19,False,0.0,Low,4.0,False,False,False,False,False,True,False,False,False
True,False,45,True,1.0,Low,1.0,False,False,True,False,False,False,False,False,False
True,True,61,False,1.0,Average,2.0,True,False,False,False,False,False,False,False,False
True,True,36,True,1.0,Average,2.0,True,False,False,False,False,False,False,False,False
False,True,40,True,1.0,Low,1.0,True,False,False,False,False,False,False,False,False
True,True,57,True,0.0,Average,2.0,False,False,False,True,False,False,False,False,False
False,True,76,False,1.0,Low,1.0,False,False,False,False,False,False,False,False,True
False,True,32,True,14.0,Average,2.0,True,False,False,False,False,False,False,False,False
False,False,25,True,9.0,Low,4.0,False,False,False,False,False,True,False,False,False
True,True,45,True,1.0,Average,3.0,True,False,False,False,False,False,False,False,False
False,True,48,True,0.0,Average,2.0,True,False,False,False,False,False,False,False,False
False,True,55,True,9.0,Average,2.0,True,False,False,False,False,False,False,False,False
False,True,74,True,0.0,High,3.0,False,False,False,False,False,False,False,True,False
False,True,56,True,1.0,High,2.0,False,False,False,False,False,False,False,True,False
False,True,59,True,7.0,High,2.0,False,False,False,False,False,False,False,True,False
False,False,25,True,0.0,Low,2.0,False,False,False,True,False,False,False,False,False
False,True,31,True,0.0,Average,2.0,False,True,False,False,False,False,False,False,False
False,False,27,False,8.0,Low,4.0,True,False,False,False,False,False,False,False,False
False,True,57,True,0.0,Average,4.0,True,False,False,False,False,False,False,False,False
False,True,27,True,8.0,Low,2.0,False,False,False,False,False,True,False,False,False
True,True,51,True,8.0,Average,2.0,False,False,False,True,False,False,False,False,False
True,True,47,False,0.0,Average,5.0,True,False,False,False,False,False,False,False,False
True,False,33,False,8.0,Low,4.0,False,False,False,False,False,True,False,False,False
False,True,56,True,0.0,Average,4.0,True,False,False,False,False,False,False,False,False
True,False,33,False,0.0,Low,3.0,False,False,False,False,False,False,True,False,False
True,False,36,True,0.0,Low,2.0,False,True,False,False,False,False,False,False,False
False,True,51,False,4.0,Low,3.0,True,False,False,False,False,False,False,False,False
False,True,45,True,2.0,Average,2.0,False,False,True,False,False,False,False,False,False
False,False,30,False,0.0,Low,4.0,False,False,False,False,False,True,False,False,False
True,False,26,False,6.0,Low,3.0,False,False,False,False,False,True,False,False,False
False,True,63,True,8.0,Low,1.0,True,False,False,False,False,False,False,False,False
False,True,35,False,8.0,Average,4.0,False,False,False,True,False,False,False,False,False
True,False,19,False,1.0,Low,3.0,False,False,False,False,False,False,False,False,True
False,False,32,False,7.0,Low,5.0,False,False,False,False,False,True,False,False,False
False,True,52,True,0.0,Average,3.0,True,False,False,False,False,False,False,False,False
True,True,36,True,5.0,Low,2.0,True,False,False,False,False,False,False,False,False
True,False,42,False,7.0,Low,3.0,False,False,False,True,False,False,False,False,False
False,True,40,False,0.0,Average,2.0,False,True,False,False,False,False,False,False,False
