Model,Outliers,Scaling,Feature Set,Accuracy
Logistic Regression,With Outliers,No Scaling,All Features,0.7976190476190477
Decision Tree,With Outliers,No Scaling,All Features,0.7537202380952381
Random Forest,With Outliers,No Scaling,All Features,0.7745535714285714
SVM,With Outliers,No Scaling,All Features,0.6808035714285714
KNN,With Outliers,No Scaling,All Features,0.7358630952380952
Logistic Regression,With Outliers,No Scaling,Numeric Only,0.6257440476190477
Decision Tree,With Outliers,No Scaling,Numeric Only,0.6785714285714286
Random Forest,With Outliers,No Scaling,Numeric Only,0.6755952380952381
SVM,With Outliers,No Scaling,Numeric Only,0.6636904761904762
KNN,With Outliers,No Scaling,Numeric Only,0.6822916666666666
Logistic Regression,With Outliers,No Scaling,Categorical Only,0.7485119047619048
Decision Tree,With Outliers,No Scaling,Categorical Only,0.7492559523809523
Random Forest,With Outliers,No Scaling,Categorical Only,0.7447916666666666
SVM,With Outliers,No Scaling,Categorical Only,0.7485119047619048
KNN,With Outliers,No Scaling,Categorical Only,0.6845238095238095
Logistic Regression,With Outliers,No Scaling,No Family Size,0.7485119047619048
Decision Tree,With Outliers,No Scaling,No Family Size,0.7008928571428571
Random Forest,With Outliers,No Scaling,No Family Size,0.7046130952380952
SVM,With Outliers,No Scaling,No Family Size,0.6071428571428571
KNN,With Outliers,No Scaling,No Family Size,0.6681547619047619
Logistic Regression,With Outliers,Standardization,All Features,0.796875
Decision Tree,With Outliers,Standardization,All Features,0.7552083333333334
Random Forest,With Outliers,Standardization,All Features,0.7797619047619048
SVM,With Outliers,Standardization,All Features,0.8065476190476191
KNN,With Outliers,Standardization,All Features,0.7797619047619048
Logistic Regression,With Outliers,Standardization,Numeric Only,0.6257440476190477
Decision Tree,With Outliers,Standardization,Numeric Only,0.6770833333333334
Random Forest,With Outliers,Standardization,Numeric Only,0.6800595238095238
SVM,With Outliers,Standardization,Numeric Only,0.6934523809523809
KNN,With Outliers,Standardization,Numeric Only,0.6815476190476191
Logistic Regression,With Outliers,Standardization,Categorical Only,0.7485119047619048
Decision Tree,With Outliers,Standardization,Categorical Only,0.7492559523809523
Random Forest,With Outliers,Standardization,Categorical Only,0.7447916666666666
SVM,With Outliers,Standardization,Categorical Only,0.7470238095238095
KNN,With Outliers,Standardization,Categorical Only,0.6882440476190477
Logistic Regression,With Outliers,Standardization,No Family Size,0.7485119047619048
Decision Tree,With Outliers,Standardization,No Family Size,0.7008928571428571
Random Forest,With Outliers,Standardization,No Family Size,0.7023809523809523
SVM,With Outliers,Standardization,No Family Size,0.7492559523809523
